item_name,item_type,unique_id,item_name_rp,item_type_rp,git_rp,item_name_hm,item_type_hm,item_name_hm_db,item_type_hm_db,item_name_rp_db,item_type_rp_db,item_name_rp_cf,item_type_rp_cf,item_name_hm_cf,item_type_hm_cf,dot_struc_cf,cat_1_cf,cat_1_name_cf,cat_2_cf,comment_cf,no_show_cf,sort_orig,unique_id_rp,unique_id_db,unique_id_hm,unique_id_cf,item_name_repo,item_type_repo,item_name_home,item_type_home,sort_out,st_docs,st_alert,dot_struc,st_db_all,st_misc,m_status_dict,m_consol_dict,m_status_result,m_consol_result,st_match_symb
.cursor,,0,,,,.cursor,folder,,,,,,,,,,,,,,,-1,0,0,238,0,,,,,-1,,,hm,,,{},{},True,True,___ | O__ | _o
.__TEST_ITEM,,0,,,,.__TEST_ITEM,folder,,,,,,,,,,,,,,,-1,0,0,317,0,,,,,-1,,,hm,,,{},{},True,True,___ | O__ | _o
.zshrc_SUPPORT (alia),,0,,,,.zshrc_SUPPORT (alia),file,,,,,,,,,,,,,,,-1,0,0,255,0,,,,,-1,,,hm,,,{},{},True,True,___ | O__ | _o
.anthropic,,0,,,,.anthropic,folder,,,,,,,,,,,,,,,-1,0,0,287,0,,,,,-1,,,hm,,,{},{},True,True,___ | O__ | _o
.shade,,0,,,,.shade,folder,,,,,,,,,,,,,,,-1,0,0,275,0,,,,,-1,,,hm,,,{},{},True,True,___ | O__ | _o
.stCommitMsg,,0,,,,.stCommitMsg,file,,,,,,,,,,,,,,,-1,0,0,249,0,,,,,-1,,,hm,,,{},{},True,True,___ | O__ | _o
.swt,,0,,,,.swt,folder,,,,,,,,,,,,,,,-1,0,0,301,0,,,,,-1,,,hm,,,{},{},True,True,___ | O__ | _o
.cursor-tutor,,0,,,,.cursor-tutor,folder,,,,,,,,,,,,,,,-1,0,0,304,0,,,,,-1,,,hm,,,{},{},True,True,___ | O__ | _o
._dotfiles,,0,,,,._dotfiles,folder,,,,,._dotfiles,none,._dotfiles,folder,hm,term,Terminal,dotfile mgmt,~/._dotfiles/._dotfiles_srb_repo,False,1,0,0,244,385,,,,,-1,,,hm,,,{},{},True,True,___ | O_O | _o
.zshrc,file,184,.zshrc,file,True,.zshrc,file_sym,.zshrc,file_sym,.zshrc,file,.zshrc,file,.zshrc,file_sym,rp>hm,term,Terminal,zshrc,,False,2,184,318,258,386,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.zsh_history,,0,,,,.zsh_history,file,,,,,none,none,.zsh_history,file,hm,term,Terminal,zshrc,,False,3,0,0,268,387,,,,,-1,,,hm,,,{},{},True,True,___ | O_O | _o
.zsh_history.bak,,0,,,,.zsh_history.bak,file,,,,,none,none,.zsh_history.bak,file,hm,term,Terminal,zshrc,,False,4,0,0,248,388,,,,,-1,,,hm,,,{},{},True,True,___ | O_O | _o
.zshrc_aliases,file,213,.zshrc_aliases,file,True,.zshrc_aliases,file_sym,.zshrc_aliases,file_sym,.zshrc_aliases,file,.zshrc_aliases,file,.zshrc_aliases,file_sym,rp>hm,term,Terminal,zshrc,,False,5,213,319,292,389,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.zshrc_aliases__TESTING--9999,,0,,,,,,,,,,.zshrc_aliases__TESTING--9999,file,.zshrc_aliases,file_sym,rp>hm,term,Terminal,zshrc,,False,6,0,0,0,390,,,,,-1,,Doc Only No FS,,,,{},{},False,True,___ | ___ | XX
.zshrc_aliases__TESTING,,0,,,,,,,,,,.zshrc_aliases__TESTING,file,.zshrc_aliases__TESTING,file_sym,rp>hm,term,Terminal,zshrc,,False,7,0,0,0,391,,,,,-1,,Doc Only No FS,,,,{},{},False,True,___ | ___ | XX
.zshrc_scripts,file,214,.zshrc_scripts,file,True,.zshrc_scripts,file_sym,.zshrc_scripts,file_sym,.zshrc_scripts,file,.zshrc_scripts,file,.zshrc_scripts,file_sym,rp>hm,term,Terminal,zshrc,,False,8,214,320,294,392,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.zshrc_themes_omp,file,217,.zshrc_themes_omp,file,True,.zshrc_themes_omp,file_sym,.zshrc_themes_omp,file_sym,.zshrc_themes_omp,file,.zshrc_themes_omp,file,.zshrc_themes_omp,file_sym,rp>hm,term,Terminal,zshrc,,False,9,217,321,298,393,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.zshrc_autocomplete1,file,178,.zshrc_autocomplete1,file,True,.zshrc_autocomplete1,file_sym,.zshrc_autocomplete1,file_sym,.zshrc_autocomplete1,file,.zshrc_autocomplete1,file,.zshrc_autocomplete1,file_sym,rp>hm,term,Terminal,zshrc,,False,10,178,322,251,394,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.zprofile,file,191,.zprofile,file,True,.zprofile,file_sym,.zprofile,file_sym,.zprofile,file,.zprofile,file,.zprofile,file_sym,rp>hm,term,Terminal,zsh other,zsh profile file,False,11,191,323,265,395,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.zsh_sessions,folder,232,.zsh_sessions,folder,True,.zsh_sessions,folder_sym,.zsh_sessions,folder_sym,.zsh_sessions,folder,.zsh_sessions,folder,.zsh_sessions,folder_sym,rp>hm,term,Terminal,zsh other,Command history and state from previous zsh sessions,False,12,232,324,315,396,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.zcompdump-srb_mbp23-5.9,,0,,,,.zcompdump-srb_mbp23-5.9,file,,,,,.zcompdump-srb_mbp23-5.9,none,.zcompdump-srb_mbp23-5.9,file,hm,term,Terminal,zsh other,zsh completion dump file,False,13,0,0,276,397,,,,,-1,,,hm,,,{},{},True,True,___ | O_O | _o
.zcompdump-srb_mbp23-5.9.zwc,,0,,,,.zcompdump-srb_mbp23-5.9.zwc,file,,,,,.zcompdump-srb_mbp23-5.9.zwc,none,.zcompdump-srb_mbp23-5.9.zwc,file,hm,term,Terminal,zsh other,,False,14,0,0,286,398,,,,,-1,,,hm,,,{},{},True,True,___ | O_O | _o
.zcompdump,,0,,,,.zcompdump,file,,,,,.zcompdump,none,.zcompdump,file,hm,term,Terminal,zsh other,,False,15,0,0,297,399,,,,,-1,,,hm,,,{},{},True,True,___ | O_O | _o
.oh-my-posh,folder,174,.oh-my-posh,folder,True,.oh-my-posh,folder_sym,.oh-my-posh,folder_sym,.oh-my-posh,folder,.oh-my-posh,folder,.oh-my-posh,folder_sym,rp>hm,term,Terminal,zsh themes,,False,16,174,325,245,400,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.bashrc,file,182,.bashrc,file,True,.bashrc,file_sym,.bashrc,file_sym,.bashrc,file,.bashrc,file,.bashrc,file_sym,rp>hm,term,Terminal,bash,,False,17,182,326,256,401,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.bash_sessions,folder,202,.bash_sessions,folder,True,.bash_sessions,folder_sym,.bash_sessions,folder_sym,.bash_sessions,folder,.bash_sessions,folder,.bash_sessions,folder_sym,rp>hm,term,Terminal,bash,Command history and state from previous bash sessions,False,19,202,328,280,403,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.iterm2_shell_integration.zsh,file,195,.iterm2_shell_integration.zsh,file,True,.iterm2_shell_integration.zsh,file_sym,.iterm2_shell_integration.zsh,file_sym,.iterm2_shell_integration.zsh,file,.iterm2_shell_integration.zsh,file,.iterm2_shell_integration.zsh,file_sym,rp>hm,term,Terminal,other,iTerm2 shell integration file,False,21,195,330,270,405,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.iterm2,folder,205,.iterm2,folder,True,.iterm2,folder_sym,.iterm2,folder_sym,.iterm2,folder,.iterm2,folder,.iterm2,folder_sym,rp>hm,term,Terminal,other,iTerm2 configuration files,False,22,205,331,283,406,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.viminfo,,0,,,,.viminfo,file,,,,,.viminfo,none,.viminfo,file,hm,term,Terminal,other,,False,23,0,0,314,407,,,,,-1,,,hm,,,{},{},True,True,___ | O_O | _o
.npmrc,file,196,.npmrc,file,True,.npmrc,file_sym,.npmrc,file_sym,.npmrc,file,.npmrc,file,.npmrc,file_sym,rp>hm,swd,Software Development,pkg mgrs plus,Node.js package manager configuration file,False,25,196,333,271,409,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.yarnrc,file,175,.yarnrc,file,True,.yarnrc,file_sym,.yarnrc,file_sym,.yarnrc,file,.yarnrc,file,.yarnrc,file_sym,rp>hm,swd,Software Development,pkg mgrs plus,Yarn package manager,False,27,175,336,246,411,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.node-gyp,folder,170,.node-gyp,folder,True,.node-gyp,folder_sym,.node-gyp,folder_sym,.node-gyp,folder,.node-gyp,folder,.node-gyp,folder_sym,rp>hm,swd,Software Development,pkg mgrs plus,Node.js native addon build tool,False,28,170,335,240,412,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.docker,folder,169,.docker,folder,True,.docker,folder,.docker,folder_sym,.docker,folder,.docker,folder,.docker,folder_sym,rp>hm,swd,Software Development,pkg mgrs plus,Docker containerization platform,False,29,169,337,239,413,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.gem,folder,223,.gem,folder,True,.gem,folder_sym,.gem,folder_sym,.gem,folder,.gem,folder,.gem,folder_sym,rp>hm,swd,Software Development,pkg mgrs plus,Ruby Gems (Ruby libraries and packages),False,30,223,338,305,414,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
.vuerc,file,172,.vuerc,file,True,.vuerc,file_sym,.vuerc,file_sym,.vuerc,file,.vuerc,file,.vuerc,file_sym,rp>hm,swd,Software Development,frameworks,Vue.js configuration file,False,31,172,339,242,415,,,,,-1,,,rp>hm,,,{},{},True,True,OOO | OOO | OO
